iter	Passed	Remaining
0	139	139014
1	142	71305
2	146	48629
3	149	37288
4	153	30476
5	156	25972
6	160	22756
7	163	20283
8	167	18389
9	170	16858
10	173	15613
11	177	14578
12	180	13686
13	183	12920
14	186	12246
15	189	11669
16	192	11147
17	195	10684
18	199	10300
19	202	9939
20	206	9611
21	209	9307
22	212	9031
23	215	8778
24	219	8549
25	222	8334
26	225	8130
27	229	7957
28	232	7780
29	235	7616
30	238	7460
31	241	7318
32	245	7180
33	248	7048
34	251	6925
35	254	6811
36	257	6702
37	260	6603
38	264	6506
39	267	6412
40	270	6325
41	273	6247
42	277	6165
43	280	6089
44	283	6011
45	286	5940
46	289	5872
47	292	5804
48	295	5738
49	298	5677
50	301	5618
51	305	5563
52	308	5508
53	311	5458
54	314	5410
55	317	5358
56	321	5322
57	325	5279
58	328	5235
59	331	5192
60	334	5154
61	338	5122
62	341	5086
63	345	5050
64	348	5007
65	351	4972
66	354	4937
67	357	4904
68	361	4875
69	364	4844
70	367	4811
71	370	4779
72	373	4747
73	376	4714
74	380	4694
75	383	4665
76	388	4651
77	391	4623
78	394	4598
79	397	4573
80	400	4547
81	404	4524
82	407	4501
83	410	4480
84	414	4458
85	417	4433
86	420	4414
87	423	4393
88	427	4372
89	430	4352
90	433	4332
91	437	4317
92	440	4299
93	443	4279
94	447	4258
95	450	4238
96	453	4220
97	456	4204
98	460	4188
99	463	4171
100	466	4152
101	469	4135
102	472	4118
103	476	4103
104	479	4086
105	482	4071
106	485	4055
107	489	4042
108	492	4026
109	495	4010
110	499	3996
111	502	3982
112	505	3967
113	508	3953
114	511	3938
115	516	3936
116	519	3921
117	522	3906
118	525	3893
119	529	3882
120	532	3868
121	535	3856
122	539	3844
123	542	3832
124	546	3822
125	549	3811
126	552	3799
127	555	3787
128	559	3776
129	562	3764
130	565	3753
131	569	3741
132	572	3730
133	575	3718
134	578	3707
135	581	3696
136	584	3685
137	588	3675
138	591	3665
139	594	3654
140	597	3642
141	601	3632
142	604	3622
143	607	3612
144	611	3604
145	614	3593
146	617	3584
147	620	3573
148	623	3562
149	627	3554
150	630	3544
151	633	3536
152	637	3529
153	641	3521
154	644	3511
155	647	3504
156	650	3494
157	654	3485
158	657	3475
159	660	3466
160	663	3458
161	666	3450
162	670	3441
163	673	3431
164	676	3423
165	679	3414
166	682	3404
167	685	3396
168	688	3387
169	691	3377
170	694	3368
171	698	3360
172	701	3351
173	704	3343
174	707	3334
175	710	3327
176	713	3319
177	717	3311
178	720	3304
179	723	3296
180	726	3288
181	729	3280
182	733	3272
183	736	3264
184	739	3256
185	743	3252
186	746	3246
187	749	3239
188	753	3232
189	756	3225
190	759	3218
191	763	3212
192	766	3205
193	769	3197
194	772	3191
195	776	3186
196	779	3179
197	783	3172
198	786	3166
199	790	3161
200	793	3154
201	796	3147
202	800	3141
203	803	3135
204	806	3127
205	809	3120
206	812	3114
207	816	3107
208	819	3100
209	822	3094
210	826	3088
211	829	3083
212	832	3077
213	836	3070
214	839	3063
215	842	3057
216	845	3051
217	849	3045
218	852	3039
219	855	3032
220	858	3025
221	861	3019
222	864	3012
223	867	3005
224	870	2999
225	873	2992
226	876	2986
227	880	2979
228	883	2973
229	886	2967
230	889	2961
231	893	2956
232	896	2951
233	899	2945
234	902	2939
235	906	2934
236	909	2928
237	912	2923
238	916	2918
239	919	2913
240	923	2907
241	926	2902
242	929	2896
243	932	2890
244	936	2885
245	939	2879
246	942	2873
247	945	2867
248	949	2862
249	952	2858
250	956	2853
251	959	2848
252	962	2842
253	966	2837
254	969	2832
255	972	2827
256	975	2821
257	979	2815
258	981	2809
259	985	2803
260	988	2798
261	991	2793
262	994	2787
263	997	2782
264	1001	2777
265	1004	2772
266	1007	2767
267	1011	2761
268	1014	2756
269	1017	2750
270	1020	2744
271	1023	2739
272	1026	2734
273	1029	2728
274	1033	2723
275	1036	2718
276	1039	2713
277	1042	2708
278	1045	2702
279	1048	2696
280	1052	2692
281	1055	2686
282	1058	2681
283	1061	2676
284	1064	2671
285	1067	2665
286	1071	2661
287	1074	2656
288	1077	2651
289	1081	2646
290	1084	2642
291	1087	2637
292	1090	2631
293	1094	2627
294	1097	2622
295	1101	2618
296	1104	2614
297	1108	2610
298	1111	2606
299	1114	2601
300	1118	2597
301	1121	2592
302	1124	2587
303	1128	2582
304	1131	2577
305	1134	2573
306	1137	2568
307	1140	2563
308	1144	2558
309	1147	2554
310	1151	2550
311	1154	2546
312	1157	2541
313	1161	2536
314	1164	2532
315	1167	2527
316	1171	2523
317	1174	2518
318	1177	2513
319	1180	2509
320	1183	2504
321	1187	2499
322	1190	2494
323	1193	2490
324	1196	2485
325	1200	2481
326	1203	2476
327	1206	2471
328	1209	2467
329	1213	2463
330	1216	2458
331	1219	2454
332	1222	2449
333	1226	2445
334	1229	2440
335	1232	2436
336	1236	2431
337	1239	2427
338	1242	2422
339	1245	2418
340	1249	2414
341	1252	2410
342	1255	2405
343	1259	2401
344	1262	2396
345	1265	2392
346	1268	2387
347	1272	2383
348	1275	2378
349	1278	2374
350	1282	2371
351	1285	2366
352	1288	2361
353	1291	2357
354	1294	2352
355	1298	2348
356	1301	2344
357	1304	2340
358	1310	2340
359	1313	2335
360	1317	2332
361	1320	2327
362	1323	2323
363	1327	2318
364	1330	2314
365	1333	2310
366	1336	2305
367	1340	2301
368	1343	2297
369	1346	2293
370	1349	2288
371	1353	2284
372	1356	2280
373	1360	2276
374	1363	2271
375	1366	2267
376	1369	2262
377	1372	2258
378	1375	2253
379	1378	2249
380	1381	2244
381	1384	2240
382	1388	2236
